date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:49:33	40282/40282	---M-Z	200	added ('OK')	text/html	etag:%229d5a-6401b6ac-c1a38c010454bcfb;gz%22	https://bridgetrade.co.uk/fixed-variable-services.html	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/fixed-variable-services.html	(from https://bridgetrade.co.uk/home.html)
00:49:34	39223/39223	---M-Z	200	added ('OK')	text/html	etag:%229937-6401b6ac-419e6b4f880db3e8;gz%22	https://bridgetrade.co.uk/private-client-services.html	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/private-client-services.html	(from https://bridgetrade.co.uk/home.html)
00:49:34	37612/37612	---M-Z	200	added ('OK')	text/html	etag:%2292ec-6401b6ac-e92ef4b67982245d;gz%22	https://bridgetrade.co.uk/pwmloans.html	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/pwmloans.html	(from https://bridgetrade.co.uk/home.html)
00:49:38	63629/63629	---M-Z	200	added ('OK')	application/x-javascript	etag:%22f88d-6401b6ad-9298bb18d7e9f1c6;gz%22	https://bridgetrade.co.uk/www.livecoinwatch.com/static/lcw-widget.js	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/www.livecoinwatch.com/static/lcw-widget.js	(from https://bridgetrade.co.uk/home.html)
00:49:57	43698/43698	---M-Z	200	added ('OK')	text/html	etag:%22aab2-6401b6ac-2829d4955649344d;gz%22	https://bridgetrade.co.uk/forex.html	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/forex.html	(from https://bridgetrade.co.uk/home.html)
00:50:39	19321643/19321643	---M--	200	added ('OK')	video/mp4	etag:%22126d32b-6401b6ac-c347e468db8eaf8;;;%22	https://bridgetrade.co.uk/assets/videos/city.mp4	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/assets/videos/city.mp4	(from https://bridgetrade.co.uk/home.html)
00:50:44	39179/39179	---M-Z	200	added ('OK')	text/html	etag:%22990b-6401b6ad-a57643a539ba134c;gz%22	https://bridgetrade.co.uk/subscriptiontrade.html	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/subscriptiontrade.html	(from https://bridgetrade.co.uk/home.html)
00:50:47	11315/11315	---M--	200	added ('OK')	text/javascript	etag:%225f5565118f5d4a7789c8bdb059fe9d74%22	https://s3.tradingview.com/external-embedding/embed-widget-financials.js	C:/My%20Web%20Sites/hamsa/s3.tradingview.com/external-embedding/embed-widget-financials.js	(from https://bridgetrade.co.uk/home.html)
00:50:50	312769/312769	---M--	200	added ('OK')	image/jpeg	etag:%224c5c1-6401b6ac-d5efb8ec1c7b6f7;;;%22	https://bridgetrade.co.uk/assets/images/about-3.jpg	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/assets/images/about-3.jpg	(from https://bridgetrade.co.uk/home.html)
00:50:52	41643/41643	---M-Z	200	added ('OK')	text/html	etag:%22a2ab-6401b6ac-52eaecd3cd36140a;gz%22	https://bridgetrade.co.uk/about-us.html	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/about-us.html	(from https://bridgetrade.co.uk/home.html)
00:50:52	40777/40777	---M-Z	200	added ('OK')	text/html	etag:%229f49-6401b6ac-9d45c40eb702e391;gz%22	https://bridgetrade.co.uk/financial-information.html	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/financial-information.html	(from https://bridgetrade.co.uk/home.html)
00:50:52	39175/39175	---M-Z	200	added ('OK')	text/html	etag:%229907-6401b6ac-e03e64288514edd0;gz%22	https://bridgetrade.co.uk/Careers.html	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/Careers.html	(from https://bridgetrade.co.uk/home.html)
00:50:53	45253/45253	---M-Z	200	added ('OK')	text/html	etag:%22b0c5-6401b6ac-38d1c0f58c6f9163;gz%22	https://bridgetrade.co.uk/Cookies.html	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/Cookies.html	(from https://bridgetrade.co.uk/home.html)
00:50:55	41172/41172	---M-Z	200	added ('OK')	text/html	etag:%22a0d4-6401b6ac-b2f28232bcaff0e;gz%22	https://bridgetrade.co.uk/Environmental-social-governance.html	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/Environmental-social-governance.html	(from https://bridgetrade.co.uk/home.html)
00:50:55	40521/40521	---M-Z	200	added ('OK')	text/html	etag:%229e49-6401b6ac-ec71c78e70ff9a5;gz%22	https://bridgetrade.co.uk/Social-Media-Guidelines.html	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/Social-Media-Guidelines.html	(from https://bridgetrade.co.uk/home.html)
00:50:56	72378/72378	---M--	200	added ('OK')	application/pdf	etag:%2211aba-6401b6ad-376ff5c4a26b8a09;;;%22	https://bridgetrade.co.uk/Terms_of_Use.pdf	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/Terms_of_Use.pdf	(from https://bridgetrade.co.uk/home.html)
00:50:56	96355/96355	---M--	200	added ('OK')	application/pdf	etag:%2217863-6401b6ac-e9911326db74037e;;;%22	https://bridgetrade.co.uk/Privacy_Statement.pdf	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/Privacy_Statement.pdf	(from https://bridgetrade.co.uk/home.html)
00:50:57	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63978ef2-272a3bd9412939b5;gz%22	https://bridgetrade.co.uk/Accessibility_.pdf	C:/My%20Web%20Sites/hamsa/bridgetrade.co.uk/Accessibility_.36.delayed	(from https://bridgetrade.co.uk/home.html)
